[Epoch 1] started
[Epoch 1] Step 820/10587 | Loss: 0.0544 | ETA: 03:13:25
[Epoch 1] Step 830/10587 | Loss: 0.0591 | ETA: 03:12:52
[Epoch 1] Step 840/10587 | Loss: 0.0780 | ETA: 03:12:30
[Epoch 1] Step 850/10587 | Loss: 0.1446 | ETA: 03:11:59
[Epoch 1] Step 860/10587 | Loss: 0.1307 | ETA: 03:11:30
[Epoch 1] Step 870/10587 | Loss: 0.0454 | ETA: 03:11:07
[Epoch 1] Step 880/10587 | Loss: 0.0623 | ETA: 03:10:49
[Epoch 1] Step 890/10587 | Loss: 0.0982 | ETA: 03:10:31
[Epoch 1] Step 900/10587 | Loss: 0.0875 | ETA: 03:10:03
[Epoch 1] Step 910/10587 | Loss: 0.1210 | ETA: 03:09:42
[Epoch 1] Step 920/10587 | Loss: 0.1032 | ETA: 03:09:23
[Epoch 1] Step 930/10587 | Loss: 0.0515 | ETA: 03:08:59
[Epoch 1] Step 940/10587 | Loss: 0.0689 | ETA: 03:08:31
[Epoch 1] Step 950/10587 | Loss: 0.1094 | ETA: 03:08:03
[Epoch 1] Step 960/10587 | Loss: 0.0465 | ETA: 03:07:43
[Epoch 1] Step 970/10587 | Loss: 0.0689 | ETA: 03:07:22
[Epoch 1] Step 980/10587 | Loss: 0.0493 | ETA: 03:07:05
[Epoch 1] Step 990/10587 | Loss: 0.0679 | ETA: 03:06:43
[Epoch 1] Step 1000/10587 | Loss: 0.0849 | ETA: 03:06:24
[Step Save] checkpoints/detector/detector_epoch_1_step_1000.pth
[Epoch 1] Step 1010/10587 | Loss: 0.0825 | ETA: 03:07:44
[Epoch 1] Step 1020/10587 | Loss: 0.0667 | ETA: 03:07:25
[Epoch 1] Step 1030/10587 | Loss: 0.0600 | ETA: 03:07:12
[Epoch 1] Step 1040/10587 | Loss: 0.1365 | ETA: 03:06:55
[Epoch 1] Step 1050/10587 | Loss: 0.0615 | ETA: 03:06:37
[Epoch 1] Step 1060/10587 | Loss: 0.0801 | ETA: 03:06:14
[Epoch 1] Step 1070/10587 | Loss: 0.0700 | ETA: 03:05:55
[Epoch 1] Step 1080/10587 | Loss: 0.0355 | ETA: 03:05:35
[Epoch 1] Step 1090/10587 | Loss: 0.0741 | ETA: 03:05:08
[Epoch 1] Step 1100/10587 | Loss: 0.1921 | ETA: 03:04:53
[Epoch 1] Step 1110/10587 | Loss: 0.0420 | ETA: 03:04:33
[Epoch 1] Step 1120/10587 | Loss: 0.0882 | ETA: 03:04:16
[Epoch 1] Step 1130/10587 | Loss: 0.1191 | ETA: 03:03:51
[Epoch 1] Step 1140/10587 | Loss: 0.0879 | ETA: 03:03:23
[Epoch 1] Step 1150/10587 | Loss: 0.0921 | ETA: 03:03:03
[Epoch 1] Step 1160/10587 | Loss: 0.1493 | ETA: 03:02:45
[Epoch 1] Step 1170/10587 | Loss: 0.0543 | ETA: 03:02:26
[Epoch 1] Step 1180/10587 | Loss: 0.0597 | ETA: 03:02:10
[Epoch 1] Step 1190/10587 | Loss: 0.0604 | ETA: 03:01:57
[Epoch 1] Step 1200/10587 | Loss: 0.0880 | ETA: 03:01:34
[Epoch 1] Step 1210/10587 | Loss: 0.1582 | ETA: 03:01:14
[Epoch 1] Step 1220/10587 | Loss: 0.0851 | ETA: 03:00:57
[Epoch 1] Step 1230/10587 | Loss: 0.0793 | ETA: 03:00:52
